from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
alt,ast,1.0,0.99,True,inconclusive,0.7,no_directional_evidence,"All five PubMed abstracts consistently describe ALT and AST as co-occurring biomarkers of liver injury that are measured together and change in parallel in response to hepatotoxic insults. However, none describe a causal or regulatory relationship between them, nor do they suggest one enzyme influences the other. The INDRA database contains zero directional statements in either direction. The evidence supports that ALT and AST are correlated as parallel indicators of liver damage, but does not support a directed causal edge from ALT to AST.","42223275, 42373439, 42242754, 42157520, 42495747",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
chloride,co2,1.0,0.535,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstract (PMID 23528507) describes correlations between chloride and CO2 levels in pediatric patients with HPS, but presents them as co-occurring electrolyte/acid-base abnormalities without establishing a directional causal relationship. INDRA found zero directional or undirected statements linking these entities. The evidence supports that these measurements vary together in certain clinical contexts but does not establish which, if either, causally influences the other.",23528507,none,0.0,0.0,0.0,,,,(Serum chloride (electrolyte).) AND (Serum bicarbonate/CO2 -- acid-base status.)
globulin,protein,1.0,1.0,True,supported,0.85,supports_proposed_direction,"The PubMed abstracts consistently describe calculated globulin (CG) as ""total protein minus albumin,"" establishing that globulin is a component/fraction derived from total protein measurements. This mathematical relationship implies that total protein is the parent measurement from which globulin is calculated, supporting the proposed direction globulin -> protein in the sense that globulin contributes to/constitutes part of total protein. While INDRA provides no directional evidence, the definitional relationship in the abstracts clearly supports this direction rather than the reverse.","39507534, 37166344",none,0.0,0.0,0.0,,,,(Globulin -- blood proteins including antibodies (often total protein minus albumin).) AND (Total serum protein.)
hdl,total_chol,1.0,1.0,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm that HDL cholesterol and total cholesterol are related components of the lipid panel that are measured together and change in correlation with metabolic conditions. However, neither the INDRA database (0 forward, 0 reverse statements) nor the abstract texts provide explicit directional/causal evidence. The abstracts describe correlational changes in lipid parameters but do not establish that HDL causally determines total cholesterol levels versus the reverse or bidirectional relationship.","37092196, 31531722, 41596434, 17351155, 20112843",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
hdl,triglycerides,1.0,0.98,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm a relationship exists between HDL and triglycerides (both studies show these lipid parameters vary together in metabolic syndrome contexts), but neither abstract establishes a causal direction. INDRA found zero forward, reverse, or undirected statements, providing no directional evidence. The abstracts describe correlational changes in lipid panels without mechanistic claims about HDL causally influencing triglycerides or vice versa.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
ldl,total_chol,1.0,1.0,True,supported,0.85,supports_proposed_direction,"The relationship between LDL and total cholesterol is well-established: total cholesterol is mathematically composed of LDL-C, HDL-C, and other lipid fractions. PMID 38323698 demonstrates that sd-LDL-C analysis was conducted ""accounting for total LDL-C,"" treating LDL as a component that contributes to total cholesterol measurements. The proposed direction (ldl -> total_chol) aligns with the compositional relationship where LDL cholesterol is a constituent measured as part of total cholesterol.",38323698,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
triglycerides,total_chol,1.0,1.0,True,supported,0.4,no_directional_evidence,"The PubMed abstracts consistently show that triglycerides and total cholesterol are associated components of the lipid panel that often vary together in response to interventions (diet, obesity) and are assessed together in metabolic studies. However, none of the abstracts establish a directional causal relationship where triglycerides specifically influence total cholesterol or vice versa. The INDRA database contains no directional or undirected statements between these entities. The relationship is well-supported as correlated components of lipid metabolism, but there is no mechanistic or directional evidence favoring triglycerides->total_chol over the reverse.","37605644, 33317019, 37529874, 42161748, 36973700",none,0.0,0.0,0.0,,,,(Triglycerides -- blood fat level (lipid panel).) AND (Total cholesterol (lipid panel).)
CXCL9,CXCL10,1.0,0.985,True,supported,0.7,conflicting,"The INDRA database provides strong evidence that CXCL9 and CXCL10 are related (75 total statements with 62 PMIDs), confirming a relationship exists. However, the directional evidence is balanced: 25 forward statements (CXCL9->CXCL10) vs 25 reverse statements (CXCL10->CXCL9), with similar statement types in both directions (predominantly Complex formation, with scattered Activation/Inhibition/Amount changes). This symmetric evidence does not favor the proposed direction over the reverse, indicating CXCL9 and CXCL10 likely participate in co-regulated or mutually interactive processes rather than a unidirectional causal relationship.",,conflicting,25.0,25.0,25.0,"10322299, 11423172, 12782716, 15265940, 18533024, 19301198, 19794961, 20585034, 20627090, 21040721, 21049277, 21307292, 21326865, 21601294, 21864623, 21873527, 22155217, 22531000, 22633082, 22800603, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32547545, 33196963, 33323542, 33365073, 33481318, 34221297, 34676126, 34685582, 36799104, 36934327, 37869162, 38686377, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21864623, 21873527, 22155217, 22531000, 22800603, 23150742, 23352833, 23382730, 23626590, 23827991, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 29374213, 30473680, 30777092, 30915067, 31843005, 32211244, 32519302, 32547545, 33359600, 33365073, 33481318, 34676126, 34685582, 34896075, 36934327, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19301198, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21601294, 21873527, 22155217, 22531000, 22633082, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26437779, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32519302, 32547545, 33196963, 33323542, 33359600, 33365073, 33481318, 34221297, 34676126, 34685582, 34896075, 36799104, 36934327, 37869162, 39956620","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
CXCL9,IFNG,1.0,0.895,True,supported,0.6,conflicting,"The INDRA database provides strong evidence for a relationship between CXCL9 and IFNG (45 total statements across both directions). However, the directional evidence is conflicting: 20 forward statements (CXCL9->IFNG) versus 23 reverse statements (IFNG->CXCL9), with substantial overlap in statement types and PMIDs. This suggests bidirectional regulation rather than a clear unidirectional relationship, though both directions appear to be supported by mechanistic evidence.",,conflicting,20.0,23.0,25.0,"10322299, 16033640, 19258507, 19340290, 19565490, 20083666, 21040721, 21864623, 22155217, 22363505, 22889476, 23278812, 23397329, 24965778, 25667668, 25822970, 26129991, 26270565, 26664893, 27312090, 27708643, 28982144, 29535722, 30372487, 30915067, 31778800, 32142615, 33576397, 35477658, 36875114, 38965571, 9500790","10322299, 12183154, 16269263, 18084611, 19565490, 21040721, 21203448, 21864623, 22155217, 22363505, 22889476, 23397329, 24965778, 25822970, 26129991, 26270565, 26664893, 26694969, 26751176, 26903480, 26964571, 27107789, 27708643, 28982144, 29088306, 29113976, 29535722, 30915067, 32142615, 32486130, 32730721, 33576397, 36569039, 37253006, 38965571, 39580469, 39981245, 9500790","10322299, 12183154, 16033640, 16269263, 18084611, 19258507, 19340290, 20083666, 21040721, 21203448, 21864623, 22155217, 22889476, 23278812, 23397329, 24965778, 25667668, 25822970, 26129991, 26270565, 26664893, 26694969, 26751176, 26903480, 26964571, 27107789, 27312090, 27708643, 29088306, 29113976, 29535722, 30372487, 30915067, 31778800, 32142615, 32486130, 32730721, 33576397, 35477658, 36569039, 36875114, 37253006, 38965571, 39580469, 9500790","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (Interferon-gamma -- key antiviral/immune-activating cytokine.)"
CXCL9,PDCD1,1.0,0.855,True,supported,0.4,conflicting,"INDRA provides substantial evidence that CXCL9 and PDCD1 interact (6 forward statements, 6 reverse statements, 8 undirected). However, the directional evidence is perfectly balanced with equal counts of forward (6) and reverse (6) directional statements, both including Activation, Inhibition, and Complex types. With no PubMed abstracts to provide additional context and perfectly symmetric INDRA evidence, the relationship is supported but the direction remains conflicting.",,conflicting,6.0,6.0,8.0,"31216458, 33003392, 35592387, 38962427","31186412, 31251403, 33003392","31186412, 31216458, 31251403, 33003392, 35592387, 38962427","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (PD-1 -- immune checkpoint receptor on T cells, dampens T cell activity.)"
CXCL10,CXCL11,1.0,0.96,True,supported,0.7,conflicting,"The INDRA evidence strongly supports that a relationship exists between CXCL10 and CXCL11 (75 total statements across forward, reverse, and undirected). However, the directional evidence is conflicting: there are 25 forward statements (CXCL10->CXCL11) and 25 reverse statements (CXCL11->CXCL10), with similar statement type distributions in both directions (predominantly Complex formation, plus 1 Activation and 1 Inhibition each). This symmetric evidence pattern indicates these chemokines likely interact bidirectionally or co-regulate each other rather than having a clear unidirectional causal relationship.",,conflicting,25.0,25.0,25.0,"11423172, 12782716, 18533024, 21196205, 21307292, 21326865, 21864623, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26129991, 26216123, 26270565, 26489007, 26663990, 27412416, 27917296, 28575534, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 34896075, 35349874, 38698849","11423172, 12782716, 12787142, 18060089, 18533024, 21196205, 21307292, 21326865, 21864623, 22004287, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26129991, 26216123, 26270565, 26344576, 26489007, 26663990, 27412416, 27917296, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 35087741, 35349874, 38686450","11423172, 12782716, 12787142, 18060089, 18533024, 21307292, 21326865, 21864623, 22004287, 22233170, 22343319, 22531000, 23483225, 23626590, 24205388, 24940911, 24992040, 25324719, 25498524, 25907241, 26216123, 26270565, 26344576, 26489007, 26663990, 27412416, 27917296, 28821016, 29218043, 29288898, 30473680, 30777092, 31780824, 31843005, 32211244, 32547545, 33481318, 34685582, 34896075, 35087741, 35349874, 38686450, 38698849","(IP-10 -- interferon-induced chemokine, recruits T cells.) AND (I-TAC -- interferon-induced chemokine, recruits T cells.)"
IL7,VEGFA,1.0,0.97,True,inconclusive,0.15,no_directional_evidence,"The INDRA database contains zero statements connecting IL7 and VEGFA in either direction. The PubMed abstracts retrieved (PMIDs 41369408, 41046267, 40602762, 34948315, 41390488) all focus on VEGFA regulation but none mention IL7 or discuss any connection between IL7 and VEGFA. The abstracts discuss various pathways regulating VEGFA expression, but IL7 is not implicated in any of them. There is no literature evidence supporting a relationship between these entities.",,none,0.0,0.0,0.0,,,,(Interleukin-7 -- cytokine required for lymphocyte development/survival.) AND (Vascular Endothelial Growth Factor A -- drives blood vessel formation (angiogenesis).)
CCL11,CCL2,1.0,0.51,True,supported,0.35,conflicting,"The literature strongly supports a relationship between CCL11 and CCL2, as evidenced by multiple PubMed abstracts showing they are co-expressed in various disease contexts (CEP, allergic inflammation, airway diseases) and INDRA reporting extensive complex formation between them. However, the directional evidence is conflicting: INDRA shows nearly equal forward (21 statements, including 1 Activation) and reverse (22 statements, including 1 Activation and 1 Inhibition) causal statements. The PubMed abstracts primarily describe co-occurrence and parallel roles rather than one regulating the other, with PMID 11884459 notably showing CCL11 does NOT affect CCL2 production in endothelial cells, which contradicts the proposed direction.","11884459, 18782110, 9062350, 11044560, 11488333",conflicting,21.0,22.0,23.0,"16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 27752355, 28569792, 28655871, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 36120342, 38381878, 39483923","16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 26209626, 27752355, 28569792, 28655871, 28870209, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 34447895, 36120342, 36138189, 39483923","16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 26209626, 27752355, 28569792, 28655871, 28870209, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 34447895, 36120342, 36138189, 38381878, 39483923",(Eotaxin-1 -- chemokine that recruits eosinophils.) AND (MCP-1 -- chemokine that recruits monocytes.)
TNFRSF1A,HAVCR2,1.0,0.94,True,supported,0.75,supports_proposed_direction,"INDRA provides clear directional evidence with 2 forward statements (Activation and DecreaseAmount) from TNFRSF1A to HAVCR2, and 0 reverse statements. The forward direction signal is unambiguous. While no PubMed abstracts were retrieved for additional context, the INDRA causal statements from multiple sources (PMIDs: 29273790, 35743911, 39543125) provide mechanistic support for the proposed direction.",,forward,2.0,0.0,2.0,"29273790, 35743911, 39543125",,"29273790, 35743911, 39543125","(TNF Receptor 1 (TNF-R1) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
TNFRSF1B,HAVCR2,1.0,0.96,True,supported,0.65,supports_proposed_direction,"INDRA provides evidence for the proposed relationship with 1 forward directional statement (Activation) from TNFRSF1B to HAVCR2 and 0 reverse statements, yielding a clear forward direction signal. While no PubMed abstracts were retrieved for additional context, the INDRA causal statement from PMID 39543125 supports both the existence of a relationship and specifically the proposed direction.",,forward,1.0,0.0,1.0,39543125,,39543125,"(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
GZMA,CD8A,1.0,0.74,True,supported,0.6,no_directional_evidence,"INDRA statements confirm a relationship exists between GZMA and CD8A with 3 complex formation statements. However, all statements are of type ""Complex"" which are undirected/non-causal relationships. The identical counts in forward (3) and reverse (3) directions with the same PMIDs indicate these are the same undirected statements counted both ways, providing no evidence for directional causality in either direction. No PubMed abstracts were retrieved to provide additional directional context.",,conflicting,3.0,3.0,3.0,"28718425, 29800567, 30179225","28718425, 29800567, 30179225","28718425, 29800567, 30179225",(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (CD8-alpha -- surface marker defining cytotoxic T cells.)
GZMA,LAG3,1.0,0.99,True,supported,0.5,conflicting,"INDRA statements confirm a relationship exists between GZMA and LAG3 (Complex formation in both directions, plus LAG3->GZMA DecreaseAmount). However, the directional evidence is conflicting: 1 forward statement (Complex) vs 2 reverse statements (Complex + DecreaseAmount). The reverse direction has slightly more support and includes a regulatory mechanism (DecreaseAmount), while the proposed GZMA->LAG3 direction only has Complex formation, which is inherently bidirectional. No PubMed abstracts were available to provide additional context.",,conflicting,1.0,2.0,2.0,30059832,"30059832, 35821635","30059832, 35821635","(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (LAG-3 -- immune checkpoint receptor, dampens T cell activity.)"
sex,crp,0.99,1.0,True,supported,0.65,supports_proposed_direction,"PMID 28615263 demonstrates that sex (along with age, residence, and socioeconomic status) was used as a covariate in multivariable models predicting inflammation markers including CRP, indicating sex is treated as an independent predictor of CRP levels. The abstract shows sex is analyzed as a demographic factor influencing inflammatory biomarkers rather than vice versa. While INDRA provides no directional evidence, the proposed direction (sex -> CRP) aligns with the epidemiological modeling approach where biological sex is a fixed demographic characteristic that can influence physiological markers like CRP.",28615263,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (C-reactive protein -- acute-phase inflammation marker.)
alt,weight,0.99,0.565656565656566,True,supported,0.3,supports_reverse_direction,"The PubMed abstract (PMID 17698903) establishes a clear inverse relationship between body weight metrics (BMI, body mass index) and ALT levels, showing that ALT is negatively correlated with adiponectin, which itself is inversely associated with body mass index. The biological relationship described suggests body weight influences ALT rather than the reverse, as weight/obesity drives metabolic changes that affect liver enzymes. However, INDRA found no directional statements in either direction, and the single abstract provides only correlational evidence, limiting confidence in definitive directionality.",17698903,none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Body weight (anthropometric covariate).)"
chloride,sodium,0.99,0.636363636363636,True,supported,0.4,no_directional_evidence,"The literature clearly supports a relationship between chloride and sodium as electrolytes that are measured together and show correlated changes in disease states (CKD, heart failure, hypertension). However, the INDRA data shows only Complex formation (undirected, equal counts both directions), and the PubMed abstracts discuss chloride and sodium as co-varying electrolytes without establishing a causal direction where chloride influences sodium. The abstracts describe associations and correlations but no mechanistic evidence for chloride causing changes in sodium levels.","42078875, 42140747, 42179811, 42161422, 42446278",conflicting,1.0,1.0,1.0,32305372,32305372,32305372,(Serum chloride (electrolyte).) AND (Serum sodium (electrolyte).)
potassium,calcium,0.99,0.97979797979798,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstracts establish correlations between potassium and calcium levels in various clinical contexts (CKD, anemia, postpartum VTE), but none provide mechanistic evidence for potassium causally influencing calcium. PMID 42368778 shows a Ca/K ratio predicts VTE risk, and PMID 4 shows inverse patterns in CKD, but these are associative findings. The INDRA database contains no directional or undirected causal statements between potassium and calcium, providing no support for either direction of causation.","41913863, 42368778, 41863906, 42140747, 41859025",none,0.0,0.0,0.0,,,,(Serum potassium (electrolyte).) AND (Serum calcium level.)
IFNG,TNF,0.99,0.797979797979798,True,supported,0.85,supports_reverse_direction,"The INDRA database shows strong evidence for a relationship between IFNG and TNF, with 25 reverse directional statements (TNF -> IFNG) including Activation, IncreaseAmount, Inhibition, and DecreaseAmount, but 0 forward statements (IFNG -> TNF). This clear asymmetry strongly supports the reverse direction (TNF -> IFNG) rather than the proposed direction. No PubMed abstracts were retrieved to provide additional context.",,reverse,0.0,25.0,25.0,,"10637835, 15311213, 16835788, 1777558, 18006239, 18282744, 18832733, 19676134, 19727388, 20359168, 21152006, 21156401, 2129751, 21457518, 21593451, 21670304, 21712100, 21750671, 21887301, 22361489, 22547990, 22624872, 22648034, 23084763, 23335880, 23583734, 23632060, 23765218, 23792687, 23840803, 24301796, 24625516, 24838146, 25132806, 25875016, 26370457, 26505193, 26561804, 26613994, 26770283, 27087902, 27243788, 27599590, 28129932, 28194607, 28243235, 28320483, 28342933, 28715277, 29421593, 29552119, 30795687, 3121415, 31681272, 31827375, 31906962, 32521803, 32611425, 32902664, 34064719, 34100026, 34592166, 34696166, 35507102, 36164339, 39911299, 40003718, 8004818, 8490102, 9811882","10637835, 15311213, 16835788, 1777558, 18006239, 18282744, 18832733, 19727388, 20359168, 21152006, 21156401, 2129751, 21457518, 21593451, 21887301, 22027617, 22361489, 22547990, 22624872, 22648034, 23632060, 23765218, 23792687, 23840803, 24012417, 24301796, 24602288, 24625516, 24838146, 25132806, 26370457, 26505193, 26561804, 26613994, 26647796, 26770283, 27087902, 28243235, 28320483, 28342933, 28715277, 28765693, 30269027, 3121415, 31681272, 31827375, 31906962, 32521803, 32611425, 32858105, 32902664, 33584607, 33805697, 34064719, 34100026, 34592166, 34696166, 35507102, 36164339, 36825018, 37415984, 38499215, 39911299, 40003718, 8004818, 8381516, 8490102, 9058829, 9811882",(Interferon-gamma -- key antiviral/immune-activating cytokine.) AND (Tumor Necrosis Factor (alpha) -- major pro-inflammatory cytokine.)
GZMA,GZMB,0.99,0.565656565656566,True,supported,0.65,conflicting,"The literature strongly supports a relationship between GZMA and GZMB, as both are co-expressed granzymes released by cytotoxic lymphocytes (NK/T cells) as shown in PubMed abstracts. However, the directional evidence is conflicting: INDRA shows 8 forward statements (GZMA->GZMB) vs 9 reverse statements (GZMB->GZMA), with similar statement types in both directions (Complex, Activation, Inhibition). The PubMed abstracts describe co-regulation and co-expression but do not establish a clear causal direction from GZMA to GZMB.","42196181, 24894428",conflicting,8.0,9.0,11.0,"11790262, 15998831, 17088087, 17182966, 24752302, 24771851, 26894590, 28694562, 29352005, 29800567, 30059832, 31258764, 33035645, 36901959, 40200299","10367905, 15998831, 17182966, 18485875, 24771851, 25156367, 26894590, 28167943, 28694562, 29352005, 29800567, 30059832, 31258764, 34594031, 36901959, 38665903, 39622583","10367905, 11790262, 15998831, 17088087, 17182966, 18485875, 24752302, 24771851, 25156367, 26894590, 28167943, 28694562, 29352005, 29800567, 30059832, 31258764, 33035645, 34594031, 36901959, 38665903, 39622583, 40200299",(Granzyme A -- cytotoxic enzyme released by NK/T cells.) AND (Granzyme B -- cytotoxic enzyme released by NK/T cells.)
MMP12,protein,0.99,0.868686868686869,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Matrix Metalloproteinase 12 -- tissue-remodeling enzyme (macrophage elastase).) AND (Total serum protein.)
bun,albumin,0.98,0.816326530612245,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Blood urea nitrogen -- kidney function marker.) AND (Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).)"
ldl,triglycerides,0.98,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
IL1RN,IL6,0.98,0.795918367346939,True,supported,0.7,supports_reverse_direction,"The INDRA database shows strong evidence for a relationship between IL1RN and IL6, with 25 reverse directional statements (IL6 -> IL1RN) including IncreaseAmount, Activation, Inhibition, and DecreaseAmount relationship types, versus 0 forward directional statements. This clearly indicates IL6 regulates IL1RN expression rather than the proposed IL1RN -> IL6 direction. No PubMed abstracts were retrieved to provide additional context.",,reverse,0.0,25.0,25.0,,"16132884, 18980683, 19389469, 19542207, 19559159, 19900796, 20170537, 21193295, 21538508, 22205395, 22460542, 22509390, 23511138, 23525143, 23999825, 24392083, 25124963, 25909952, 26626560, 27983562, 28378639, 28542626, 29259690, 29347981, 29360163, 29991576, 30655809, 31673705, 33302472, 33923295, 33953596, 34115314, 34456576, 36943254, 37452707","16132884, 18980683, 19559159, 19900796, 21193295, 21538508, 22205395, 22460542, 22509390, 23511138, 23525143, 23999825, 24392083, 24500560, 25124963, 25909952, 27983562, 28378639, 28542626, 29259690, 29347981, 29360163, 29991576, 30655809, 31673705, 33302472, 33923295, 33953596, 34115314, 34246569, 34456576, 34794863, 35741087, 36943254, 37251223, 37452707, 38289112, 38317271, 39565032, 39968098, 40303414",(Interleukin-1 Receptor Antagonist -- dampens IL-1 inflammatory signaling.) AND (Interleukin-6 -- major pro-inflammatory cytokine.)
IL1RN,alk_phos,0.97,0.938144329896907,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Interleukin-1 Receptor Antagonist -- dampens IL-1 inflammatory signaling.) AND (Alkaline phosphatase -- liver/bone enzyme.)
