alias,csv_column,type,log_transformed,alr_transformed,alr_reference
l2_cd8aa_alr,freq.L2_cd8aa,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_dn_t_cell_alr,freq.L2_dn_t_cell,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_gdt_alr,freq.L2_gdt,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_mait_alr,freq.L2_mait,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_memory_cd4_t_cell_alr,freq.L2_memory_cd4_t_cell,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_memory_cd8_t_cell_alr,freq.L2_memory_cd8_t_cell,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_naive_cd8_t_cell_alr,freq.L2_naive_cd8_t_cell,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_proliferating_t_cell_alr,freq.L2_proliferating_t_cell,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l2_treg_alr,freq.L2_treg,continuous,FALSE,TRUE,l2_naive_cd4_t_cell
l3_il1b_cd14_monocyte_alr,freq.L3_il1b_cd14_monocyte,continuous,FALSE,TRUE,l3_core_cd14_monocyte
l3_isg_cd14_monocyte_alr,freq.L3_isg_cd14_monocyte,continuous,FALSE,TRUE,l3_core_cd14_monocyte
l3_c1q_cd16_monocyte_alr,freq.L3_c1q_cd16_monocyte,continuous,FALSE,TRUE,l3_core_cd16_monocyte
l3_isg_cd16_monocyte_alr,freq.L3_isg_cd16_monocyte,continuous,FALSE,TRUE,l3_core_cd16_monocyte
l3_gzmk_cd56dim_nk_cell_alr,freq.L3_gzmk_cd56dim_nk_cell,continuous,FALSE,TRUE,l3_gzmk_cd56dim_nk_cell_alt
l3_isg_cd56dim_nk_cell_alr,freq.L3_isg_cd56dim_nk_cell,continuous,FALSE,TRUE,l3_gzmk_cd56dim_nk_cell_alt
l3_adaptive_nk_cell_alr,freq.L3_adaptive_nk_cell,continuous,FALSE,TRUE,l3_gzmk_cd56dim_nk_cell_alt
l3_cd14_cdc2_alr,freq.L3_cd14_cdc2,continuous,FALSE,TRUE,l3_hla_drhi_cdc2
l3_isg_cdc2_alr,freq.L3_isg_cdc2,continuous,FALSE,TRUE,l3_hla_drhi_cdc2
l3_cd27_effector_b_cell_alt_alr,freq.L3_cd27_effector_b_cell.1,continuous,FALSE,TRUE,l3_cd27_effector_b_cell
l3_gzmb_vd2_gdt_alr,freq.L3_gzmb_vd2_gdt,continuous,FALSE,TRUE,l3_gzmk_vd2_gdt
l3_klrf1_effector_vd1_gdt_alr,freq.L3_klrf1_effector_vd1_gdt,continuous,FALSE,TRUE,l3_gzmk_vd2_gdt
l3_klrf1_effector_vd1_gdt_alt_alr,freq.L3_klrf1_effector_vd1_gdt.1,continuous,FALSE,TRUE,l3_gzmk_vd2_gdt
l3_naive_vd1_gdt_alr,freq.L3_naive_vd1_gdt,continuous,FALSE,TRUE,l3_gzmk_vd2_gdt
l3_sox4_vd1_gdt_alr,freq.L3_sox4_vd1_gdt,continuous,FALSE,TRUE,l3_gzmk_vd2_gdt
l3_cd4_mait_alr,freq.L3_cd4_mait,continuous,FALSE,TRUE,l3_cd8_mait
l3_isg_mait_alr,freq.L3_isg_mait,continuous,FALSE,TRUE,l3_cd8_mait
l3_activated_memory_b_cell_alr,freq.L3_activated_memory_b_cell,continuous,FALSE,TRUE,l3_core_memory_b_cell
l3_cd95_memory_b_cell_alr,freq.L3_cd95_memory_b_cell,continuous,FALSE,TRUE,l3_core_memory_b_cell
l3_early_memory_b_cell_alr,freq.L3_early_memory_b_cell,continuous,FALSE,TRUE,l3_core_memory_b_cell
l3_type_2_polarized_memory_b_cell_alr,freq.L3_type_2_polarized_memory_b_cell,continuous,FALSE,TRUE,l3_core_memory_b_cell
l3_isg_memory_cd4_t_cell_alr,freq.L3_isg_memory_cd4_t_cell,continuous,FALSE,TRUE,l3_cm_cd4_t_cell
l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr,freq.L3_klrf1_gzmb_cd27_memory_cd4_t_cell,continuous,FALSE,TRUE,l3_cm_cd4_t_cell
l3_gzmb_cd27_em_cd4_t_cell_alr,freq.L3_gzmb_cd27_em_cd4_t_cell,continuous,FALSE,TRUE,l3_cm_cd4_t_cell
l3_gzmb_cd27_em_cd4_t_cell_alt_alr,freq.L3_gzmb_cd27_em_cd4_t_cell.1,continuous,FALSE,TRUE,l3_cm_cd4_t_cell
l3_isg_memory_cd8_t_cell_alr,freq.L3_isg_memory_cd8_t_cell,continuous,FALSE,TRUE,l3_gzmk_cd27_em_cd8_t_cell
l3_cm_cd8_t_cell_alr,freq.L3_cm_cd8_t_cell,continuous,FALSE,TRUE,l3_gzmk_cd27_em_cd8_t_cell
l3_gzmk_cd27_em_cd8_t_cell_alt_alr,freq.L3_gzmk_cd27_em_cd8_t_cell.1,continuous,FALSE,TRUE,l3_gzmk_cd27_em_cd8_t_cell
l3_klrf1_gzmb_cd27_em_cd8_t_cell_alr,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,continuous,FALSE,TRUE,l3_gzmk_cd27_em_cd8_t_cell
l3_klrf1_gzmb_cd27_em_cd8_t_cell_alt_alr,freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell.1,continuous,FALSE,TRUE,l3_gzmk_cd27_em_cd8_t_cell
l3_isg_naive_b_cell_alr,freq.L3_isg_naive_b_cell,continuous,FALSE,TRUE,l3_core_naive_b_cell
l3_isg_naive_cd4_t_cell_alr,freq.L3_isg_naive_cd4_t_cell,continuous,FALSE,TRUE,l3_core_naive_cd4_t_cell
l3_sox4_naive_cd4_t_cell_alr,freq.L3_sox4_naive_cd4_t_cell,continuous,FALSE,TRUE,l3_core_naive_cd4_t_cell
l3_isg_naive_cd8_t_cell_alr,freq.L3_isg_naive_cd8_t_cell,continuous,FALSE,TRUE,l3_core_naive_cd8_t_cell
l3_sox4_naive_cd8_t_cell_alr,freq.L3_sox4_naive_cd8_t_cell,continuous,FALSE,TRUE,l3_core_naive_cd8_t_cell
l3_clp_cell_alr,freq.L3_clp_cell,continuous,FALSE,TRUE,l3_cmp_cell
l3_gzmk_memory_cd4_treg_alr,freq.L3_gzmk_memory_cd4_treg,continuous,FALSE,TRUE,l3_memory_cd4_treg
l3_klrb1_memory_cd4_treg_alr,freq.L3_klrb1_memory_cd4_treg,continuous,FALSE,TRUE,l3_memory_cd4_treg
l3_klrb1_memory_cd8_treg_alr,freq.L3_klrb1_memory_cd8_treg,continuous,FALSE,TRUE,l3_memory_cd4_treg
l3_memory_cd8_treg_alr,freq.L3_memory_cd8_treg,continuous,FALSE,TRUE,l3_memory_cd4_treg
l3_naive_cd4_treg_alr,freq.L3_naive_cd4_treg,continuous,FALSE,TRUE,l3_memory_cd4_treg
l1_dc_alr,freq.L1_dc,continuous,FALSE,TRUE,l1_t_cell
l1_monocyte_alr,freq.L1_monocyte,continuous,FALSE,TRUE,l1_t_cell
l1_nk_cell_alr,freq.L1_nk_cell,continuous,FALSE,TRUE,l1_t_cell
l1_b_cell_alr,freq.L1_b_cell,continuous,FALSE,TRUE,l1_t_cell
l1_erythrocyte_alr,freq.L1_erythrocyte,continuous,FALSE,TRUE,l1_t_cell
l1_ilc_alr,freq.L1_ilc,continuous,FALSE,TRUE,l1_t_cell
l1_platelet_alr,freq.L1_platelet,continuous,FALSE,TRUE,l1_t_cell
l1_progenitor_cell_alr,freq.L1_progenitor_cell,continuous,FALSE,TRUE,l1_t_cell
