feature_name,modality,source_column,rationale
freq.L2_cdc2,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_dn_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_effector_b_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_erythrocyte,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L2_gdt,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_ilc,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_intermediate_monocyte,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_mait,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_memory_b_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_memory_cd4_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_memory_cd8_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_naive_b_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_naive_cd4_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_naive_cd8_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_pdc,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_plasma_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_platelet,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L2_progenitor_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L2_proliferating_nk_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_proliferating_t_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_transitional_b_cell,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L2_treg,cell_type_freq,AIFI_L2_clr_pseudo,AIFI L2 cell type frequency (CLR with pseudocount). Intermediate resolution (29 types); recommended subset for BN fitting. Included.
freq.L3_activated_memory_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_adaptive_nk_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_asdc,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_baeomap_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L3_c1q_cd16_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd14_cdc2,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd27_effector_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd4_mait,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd56bright_nk_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd8_mait,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd8aa,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cd95_memory_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cdc1,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_clp_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L3_cm_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cm_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_cmp_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L3_core_cd14_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_core_cd16_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_core_memory_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_core_naive_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_core_naive_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_core_naive_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_dn_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_early_memory_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_erythrocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L3_gzmb_cd27_em_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_gzmb_vd2_gdt,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_gzmk_cd27_em_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_gzmk_cd56dim_nk_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_gzmk_memory_cd4_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_gzmk_vd2_gdt,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_hla_drhi_cdc2,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_il1b_cd14_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_ilc,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_intermediate_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_cd14_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_cd16_monocyte,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_cd56dim_nk_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_cdc2,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_mait,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_memory_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_memory_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_naive_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_naive_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_isg_naive_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_klrb1_memory_cd4_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_klrb1_memory_cd8_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_klrf1_effector_vd1_gdt,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_klrf1_gzmb_cd27_em_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_klrf1_gzmb_cd27_memory_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_memory_cd4_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_memory_cd8_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_naive_cd4_treg,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_naive_vd1_gdt,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_pdc,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_plasma_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_platelet,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. FLAGGED FOR POTENTIAL EXCLUSION: non-immune / progenitor type; discuss before BN fitting.
freq.L3_proliferating_nk_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_proliferating_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_sox4_naive_cd4_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_sox4_naive_cd8_t_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_sox4_vd1_gdt,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_transitional_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
freq.L3_type_2_polarized_memory_b_cell,cell_type_freq,AIFI_L3_clr_pseudo,AIFI L3 cell type frequency (CLR with pseudocount). Fine resolution (71 types); retained for exploratory use; too many for n~100 BN. Included.
pb.activated_memory_b_cell_ifn_alpha,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'activated_memory_b_cell'. Mean z-score over HALLMARK_INTERFERON_ALPHA_RESPONSE genes. Type I IFN; pDC-produced; innate antiviral response. Z-scored within cell type across 92 baseline samples. Included.
pb.activated_memory_b_cell_ifn_gamma,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'activated_memory_b_cell'. Mean z-score over HALLMARK_INTERFERON_GAMMA_RESPONSE genes. Type II IFN / antiviral / CMV-driven ISG state. Z-scored within cell type across 92 baseline samples. Included.
pb.activated_memory_b_cell_il2_stat5,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'activated_memory_b_cell'. Mean z-score over HALLMARK_IL2_STAT5_SIGNALING genes. T cell survival / homeostatic proliferation; declines with aging. Z-scored within cell type across 92 baseline samples. Included.
pb.activated_memory_b_cell_inflammatory,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'activated_memory_b_cell'. Mean z-score over HALLMARK_INFLAMMATORY_RESPONSE genes. TNF/IL-1/IL-6-driven inflammaging. Z-scored within cell type across 92 baseline samples. Included.
pb.activated_memory_b_cell_tnfa_nfkb,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'activated_memory_b_cell'. Mean z-score over HALLMARK_TNFA_SIGNALING_VIA_NFKB genes. NFkB regulatory arm; distinct from general inflammatory state. Z-scored within cell type across 92 baseline samples. Included.
pb.adaptive_nk_cell_ifn_alpha,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'adaptive_nk_cell'. Mean z-score over HALLMARK_INTERFERON_ALPHA_RESPONSE genes. Type I IFN; pDC-produced; innate antiviral response. Z-scored within cell type across 92 baseline samples. Included.
pb.adaptive_nk_cell_ifn_gamma,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'adaptive_nk_cell'. Mean z-score over HALLMARK_INTERFERON_GAMMA_RESPONSE genes. Type II IFN / antiviral / CMV-driven ISG state. Z-scored within cell type across 92 baseline samples. Included.
pb.adaptive_nk_cell_il2_stat5,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'adaptive_nk_cell'. Mean z-score over HALLMARK_IL2_STAT5_SIGNALING genes. T cell survival / homeostatic proliferation; declines with aging. Z-scored within cell type across 92 baseline samples. Included.
pb.adaptive_nk_cell_inflammatory,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'adaptive_nk_cell'. Mean z-score over HALLMARK_INFLAMMATORY_RESPONSE genes. TNF/IL-1/IL-6-driven inflammaging. Z-scored within cell type across 92 baseline samples. Included.
pb.adaptive_nk_cell_tnfa_nfkb,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'adaptive_nk_cell'. Mean z-score over HALLMARK_TNFA_SIGNALING_VIA_NFKB genes. NFkB regulatory arm; distinct from general inflammatory state. Z-scored within cell type across 92 baseline samples. Included.
pb.asdc_ifn_alpha,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'asdc'. Mean z-score over HALLMARK_INTERFERON_ALPHA_RESPONSE genes. Type I IFN; pDC-produced; innate antiviral response. Z-scored within cell type across 92 baseline samples. Included.
pb.asdc_ifn_gamma,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'asdc'. Mean z-score over HALLMARK_INTERFERON_GAMMA_RESPONSE genes. Type II IFN / antiviral / CMV-driven ISG state. Z-scored within cell type across 92 baseline samples. Included.
pb.asdc_il2_stat5,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'asdc'. Mean z-score over HALLMARK_IL2_STAT5_SIGNALING genes. T cell survival / homeostatic proliferation; declines with aging. Z-scored within cell type across 92 baseline samples. Included.
pb.asdc_inflammatory,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'asdc'. Mean z-score over HALLMARK_INFLAMMATORY_RESPONSE genes. TNF/IL-1/IL-6-driven inflammaging. Z-scored within cell type across 92 baseline samples. Included.
pb.asdc_tnfa_nfkb,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'asdc'. Mean z-score over HALLMARK_TNFA_SIGNALING_VIA_NFKB genes. NFkB regulatory arm; distinct from general inflammatory state. Z-scored within cell type across 92 baseline samples. Included.
pb.baeomap_cell_ifn_alpha,pseudobulk,"means layer (Seurat-normalized, log1p)","Pseudobulk L3 cell type 'baeomap_cell'. Mean z-score over HALLMARK_INTERFERON_ALPHA_RESPONSE genes. Type I IFN; pDC-produced; innate antiviral response. Z-scored within cell type across 92 baseline samples. FLAGGED FOR POTENTIAL EXCLUSION: progenitor, contaminant, or activation-artifact cell type; discuss before BN fitting."
pb.baeomap_cell_ifn_gamma,pseudobulk,"means layer (Seurat-normalized, log1p)","Pseudobulk L3 cell type 'baeomap_cell'. Mean z-score over HALLMARK_INTERFERON_GAMMA_RESPONSE genes. Type II IFN / antiviral / CMV-driven ISG state. Z-scored within cell type across 92 baseline samples. FLAGGED FOR POTENTIAL EXCLUSION: progenitor, contaminant, or activation-artifact cell type; discuss before BN fitting."
pb.baeomap_cell_il2_stat5,pseudobulk,"means layer (Seurat-normalized, log1p)","Pseudobulk L3 cell type 'baeomap_cell'. Mean z-score over HALLMARK_IL2_STAT5_SIGNALING genes. T cell survival / homeostatic proliferation; declines with aging. Z-scored within cell type across 92 baseline samples. FLAGGED FOR POTENTIAL EXCLUSION: progenitor, contaminant, or activation-artifact cell type; discuss before BN fitting."
pb.baeomap_cell_inflammatory,pseudobulk,"means layer (Seurat-normalized, log1p)","Pseudobulk L3 cell type 'baeomap_cell'. Mean z-score over HALLMARK_INFLAMMATORY_RESPONSE genes. TNF/IL-1/IL-6-driven inflammaging. Z-scored within cell type across 92 baseline samples. FLAGGED FOR POTENTIAL EXCLUSION: progenitor, contaminant, or activation-artifact cell type; discuss before BN fitting."
pb.baeomap_cell_tnfa_nfkb,pseudobulk,"means layer (Seurat-normalized, log1p)","Pseudobulk L3 cell type 'baeomap_cell'. Mean z-score over HALLMARK_TNFA_SIGNALING_VIA_NFKB genes. NFkB regulatory arm; distinct from general inflammatory state. Z-scored within cell type across 92 baseline samples. FLAGGED FOR POTENTIAL EXCLUSION: progenitor, contaminant, or activation-artifact cell type; discuss before BN fitting."
pb.c1q_cd16_monocyte_ifn_alpha,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'c1q_cd16_monocyte'. Mean z-score over HALLMARK_INTERFERON_ALPHA_RESPONSE genes. Type I IFN; pDC-produced; innate antiviral response. Z-scored within cell type across 92 baseline samples. Included.
pb.c1q_cd16_monocyte_ifn_gamma,pseudobulk,"means layer (Seurat-normalized, log1p)",Pseudobulk L3 cell type 'c1q_cd16_monocyte'. Mean z-score over HALLMARK_INTERFERON_GAMMA_RESPONSE genes. Type II IFN / antiviral / CMV-driven ISG state. Z-scored within cell type across 92 baseline samples. Included.
